,date,code,open,close,volume
117,2017-06-29,sh.601398,5.0900,5.1800,181493451
118,2017-06-30,sh.601398,5.1600,5.2500,204193364
119,2017-07-03,sh.601398,5.2400,5.2400,99661565
120,2017-07-04,sh.601398,5.2400,5.2500,135732005
121,2017-07-05,sh.601398,5.2400,5.2300,104258199
122,2017-07-06,sh.601398,5.2100,5.2300,107456856
123,2017-07-07,sh.601398,5.2300,5.2100,162110054
124,2017-07-10,sh.601398,5.2100,5.2300,139879018
125,2017-07-11,sh.601398,5.0000,5.0600,248928284
126,2017-07-12,sh.601398,5.0600,5.0800,219835288
127,2017-07-13,sh.601398,5.1000,5.1600,210364710
128,2017-07-14,sh.601398,5.1700,5.1700,91906757
129,2017-07-17,sh.601398,5.1900,5.3400,317888288
130,2017-07-18,sh.601398,5.2900,5.2800,184737254
131,2017-07-19,sh.601398,5.2700,5.2700,240727881
132,2017-07-20,sh.601398,5.2700,5.2900,175480490
133,2017-07-21,sh.601398,5.2800,5.3300,126338183
134,2017-07-24,sh.601398,5.3200,5.3900,171122778
135,2017-07-25,sh.601398,5.4000,5.4800,244455684
136,2017-07-26,sh.601398,5.4800,5.6000,224449400
137,2017-07-27,sh.601398,5.5700,5.5300,182652326
138,2017-07-28,sh.601398,5.5100,5.5500,147287262
139,2017-07-31,sh.601398,5.5300,5.5100,122622128
140,2017-08-01,sh.601398,5.5100,5.5600,139179506
141,2017-08-02,sh.601398,5.5600,5.7000,220963054
142,2017-08-03,sh.601398,5.7000,5.6600,160567260
143,2017-08-04,sh.601398,5.6300,5.6700,113675380
144,2017-08-07,sh.601398,5.6400,5.6600,110553683
145,2017-08-08,sh.601398,5.6300,5.6800,118299803
146,2017-08-09,sh.601398,5.6500,5.5400,138563730
147,2017-08-10,sh.601398,5.5400,5.5200,155640428
148,2017-08-11,sh.601398,5.4600,5.5500,222530160
149,2017-08-14,sh.601398,5.5000,5.4900,146266383
150,2017-08-15,sh.601398,5.4900,5.6100,260186392
151,2017-08-16,sh.601398,5.6100,5.6300,145172010
152,2017-08-17,sh.601398,5.6300,5.6200,60567130
153,2017-08-18,sh.601398,5.5900,5.6200,91504708
154,2017-08-21,sh.601398,5.5900,5.6300,74464483
155,2017-08-22,sh.601398,5.6200,5.6900,86319066
156,2017-08-23,sh.601398,5.6800,5.8500,202140259
157,2017-08-24,sh.601398,5.8800,5.9200,148216336
158,2017-08-25,sh.601398,5.9000,6.1600,271353312
159,2017-08-28,sh.601398,6.1400,6.0500,350736224
160,2017-08-29,sh.601398,6.0300,6.0800,171271879
161,2017-08-30,sh.601398,6.0800,5.9700,262925061
162,2017-08-31,sh.601398,5.9500,5.9000,253155276
163,2017-09-01,sh.601398,5.8600,5.7900,339965744
164,2017-09-04,sh.601398,5.7700,5.8800,211666394
165,2017-09-05,sh.601398,5.8700,5.9500,233924165
166,2017-09-06,sh.601398,5.9300,5.9000,123343230
167,2017-09-07,sh.601398,5.9000,5.8800,115894472
168,2017-09-08,sh.601398,5.8700,5.9000,108732818
169,2017-09-11,sh.601398,5.9200,5.8900,175642889
170,2017-09-12,sh.601398,5.8800,5.9300,144631718
171,2017-09-13,sh.601398,5.9100,5.9300,121844498
172,2017-09-14,sh.601398,5.9200,5.8800,176281176
173,2017-09-15,sh.601398,5.8600,5.7700,202403542
174,2017-09-18,sh.601398,5.8000,5.7600,127689033
175,2017-09-19,sh.601398,5.7500,5.7800,212680945
176,2017-09-20,sh.601398,5.7500,5.7900,120030200
177,2017-09-21,sh.601398,5.7800,5.9500,239030148
178,2017-09-22,sh.601398,5.9400,5.9800,175178547
179,2017-09-25,sh.601398,5.9500,6.1100,208888584
180,2017-09-26,sh.601398,6.0900,6.0700,129564418
181,2017-09-27,sh.601398,6.0500,6.0200,170251744
182,2017-09-28,sh.601398,6.0000,6.0500,140886800
183,2017-09-29,sh.601398,6.0400,6.0000,137529592
184,2017-10-09,sh.601398,6.2700,6.1000,414399184
185,2017-10-10,sh.601398,6.0900,6.1400,316079888
186,2017-10-11,sh.601398,6.1100,6.2000,196126953
187,2017-10-12,sh.601398,6.1800,6.2100,129540549
188,2017-10-13,sh.601398,6.2000,6.1400,153843698
189,2017-10-16,sh.601398,6.1200,6.2100,179952145
190,2017-10-17,sh.601398,6.1900,6.1500,145514380
191,2017-10-18,sh.601398,6.1700,6.2800,259896911
192,2017-10-19,sh.601398,6.2500,6.3400,225511382
193,2017-10-20,sh.601398,6.3200,6.2400,144158795
194,2017-10-23,sh.601398,6.2400,6.1900,154687848
195,2017-10-24,sh.601398,6.1900,6.2300,156380629
196,2017-10-25,sh.601398,6.2100,6.1600,165866636
197,2017-10-26,sh.601398,6.1400,6.0500,364883200
198,2017-10-27,sh.601398,6.0500,6.1900,456396464
199,2017-10-30,sh.601398,6.1800,6.2500,263233902
200,2017-10-31,sh.601398,6.2400,6.1000,202807487
201,2017-11-01,sh.601398,6.1100,6.0900,209096869
202,2017-11-02,sh.601398,6.0900,6.0900,204958070
203,2017-11-03,sh.601398,6.0700,6.1000,210266136
204,2017-11-06,sh.601398,6.0600,6.0500,159651203
205,2017-11-07,sh.601398,6.0300,6.0700,342152976
206,2017-11-08,sh.601398,6.0600,6.0400,310705360
207,2017-11-09,sh.601398,6.0200,5.9400,271419872
208,2017-11-10,sh.601398,5.9500,5.8200,418466272
209,2017-11-13,sh.601398,5.8400,5.9600,406579568
210,2017-11-14,sh.601398,5.9600,5.9100,191109921
211,2017-11-15,sh.601398,5.8800,5.9100,169395753
212,2017-11-16,sh.601398,5.8900,5.8500,214623274
213,2017-11-17,sh.601398,5.8600,6.0300,409505360
214,2017-11-20,sh.601398,6.0100,6.1100,379993824
215,2017-11-21,sh.601398,6.0800,6.1200,417291216
216,2017-11-22,sh.601398,6.1400,6.2300,431869600
217,2017-11-23,sh.601398,6.2300,6.1200,372566384
218,2017-11-24,sh.601398,6.1100,6.0700,306449136
219,2017-11-27,sh.601398,6.0400,5.9800,332282336
220,2017-11-28,sh.601398,5.9500,5.9200,199104727
221,2017-11-29,sh.601398,5.9400,5.9200,185199903
222,2017-11-30,sh.601398,5.9200,5.9200,164818756
223,2017-12-01,sh.601398,5.9100,5.8900,163447622
224,2017-12-04,sh.601398,5.8700,5.8900,148633125
225,2017-12-05,sh.601398,5.8900,6.0000,364860384
226,2017-12-06,sh.601398,5.9800,5.9700,205195359
227,2017-12-07,sh.601398,5.9400,5.9000,164665992
228,2017-12-08,sh.601398,5.8800,5.8800,155417340
229,2017-12-11,sh.601398,5.8800,5.8900,175362071
230,2017-12-12,sh.601398,5.8800,5.8400,122770430
231,2017-12-13,sh.601398,5.8500,5.9000,166940195
232,2017-12-14,sh.601398,5.9000,5.8900,146937837
233,2017-12-15,sh.601398,5.8800,5.8500,116848154
234,2017-12-18,sh.601398,5.8600,5.9200,167000651
235,2017-12-19,sh.601398,5.9000,5.9800,272821568
236,2017-12-20,sh.601398,5.9900,5.9700,190041016
237,2017-12-21,sh.601398,5.9700,5.9600,146581853
238,2017-12-22,sh.601398,5.9700,5.9200,118660402
239,2017-12-25,sh.601398,5.9300,6.0000,239636448
240,2017-12-26,sh.601398,6.0000,6.0800,216532909
241,2017-12-27,sh.601398,6.0900,6.0500,215140064
242,2017-12-28,sh.601398,6.0300,6.1400,210088644
243,2017-12-29,sh.601398,6.1300,6.2000,216899773
244,2018-01-02,sh.601398,6.1900,6.1800,537466208
